y = 164750 mm ,  x = 100000 mm , tune 51.50%, Event Range  0
y = 164750 mm ,  x = 99000 mm , tune 51.50%, Event Range  1
y = 164750 mm ,  x = 98000 mm , tune 51.50%, Event Range  2
y = 164750 mm ,  x = 97000 mm , tune 51.50%, Event Range  3
y = 164750 mm ,  x = 96000 mm , tune 51.50%, Event Range  4
y = 164750 mm ,  x = 95000 mm , tune 51.50%, Event Range  5
y = 164750 mm ,  x = 94000 mm , tune 51.50%, Event Range  6
y = 164750 mm ,  x = 93000 mm , tune 51.50%, Event Range  7
y = 164750 mm ,  x = 92000 mm , tune 51.50%, Event Range  8
y = 164750 mm ,  x = 91000 mm , tune 51.50%, Event Range  9
y = 164750 mm ,  x = 90000 mm , tune 51.50%, Event Range  10
y = 164750 mm ,  x = 89000 mm , tune 51.50%, Event Range  11
y = 164750 mm ,  x = 88000 mm , tune 51.50%, Event Range  12
y = 164750 mm ,  x = 87000 mm , tune 51.50%, Event Range  13
y = 164750 mm ,  x = 86000 mm , tune 51.50%, Event Range  14
y = 164750 mm ,  x = 85000 mm , tune 51.50%, Event Range  15
y = 164750 mm ,  x = 84000 mm , tune 51.50%, Event Range  16
y = 164750 mm ,  x = 83000 mm , tune 51.50%, Event Range  17
y = 164750 mm ,  x = 82000 mm , tune 51.50%, Event Range  18
y = 164750 mm ,  x = 81000 mm , tune 51.50%, Event Range  19
y = 164750 mm ,  x = 80000 mm , tune 51.50%, Event Range  20
y = 164750 mm ,  x = 79000 mm , tune 51.50%, Event Range  21
y = 164750 mm ,  x = 78000 mm , tune 51.50%, Event Range  22
y = 164750 mm ,  x = 77000 mm , tune 51.50%, Event Range  23
y = 164750 mm ,  x = 76000 mm , tune 51.50%, Event Range  24
y = 164750 mm ,  x = 75000 mm , tune 51.50%, Event Range  25
y = 164750 mm ,  x = 74000 mm , tune 51.50%, Event Range  26
y = 164750 mm ,  x = 73000 mm , tune 51.50%, Event Range  27
y = 164750 mm ,  x = 72000 mm , tune 51.50%, Event Range  28
y = 164750 mm ,  x = 71000 mm , tune 51.50%, Event Range  29
y = 164750 mm ,  x = 70000 mm , tune 51.50%, Event Range  30
y = 164750 mm ,  x = 69000 mm , tune 51.50%, Event Range  31
y = 164750 mm ,  x = 68000 mm , tune 51.50%, Event Range  32
y = 164750 mm ,  x = 67000 mm , tune 51.50%, Event Range  33
y = 164750 mm ,  x = 66000 mm , tune 51.50%, Event Range  34
y = 164750 mm ,  x = 65000 mm , tune 51.50%, Event Range  35
y = 164750 mm ,  x = 64000 mm , tune 51.50%, Event Range  36
y = 164750 mm ,  x = 63000 mm , tune 51.50%, Event Range  37
y = 164750 mm ,  x = 62000 mm , tune 51.50%, Event Range  38
y = 164750 mm ,  x = 61000 mm , tune 51.50%, Event Range  39
y = 164750 mm ,  x = 60000 mm , tune 51.50%, Event Range  40
y = 164750 mm ,  x = 59000 mm , tune 51.50%, Event Range  41
y = 164750 mm ,  x = 58000 mm , tune 51.50%, Event Range  42
y = 164750 mm ,  x = 57000 mm , tune 51.50%, Event Range  43
y = 164750 mm ,  x = 56000 mm , tune 51.50%, Event Range  44
y = 164750 mm ,  x = 55000 mm , tune 51.50%, Event Range  45
y = 164750 mm ,  x = 54000 mm , tune 51.50%, Event Range  46
y = 164750 mm ,  x = 53000 mm , tune 51.50%, Event Range  47
y = 164750 mm ,  x = 52000 mm , tune 51.50%, Event Range  48
y = 164750 mm ,  x = 51000 mm , tune 51.50%, Event Range  49
y = 164750 mm ,  x = 50000 mm , tune 51.50%, Event Range  50
Y = 164750 mm ,  x = 68000 mm , tune 51.50%, Event Range  32
y = 164750 mm ,  x = 67000 mm , tune 51.50%, Event Range  33
y = 164750 mm ,  x = 66000 mm , tune 51.50%, Event Range  34
y = 164750 mm ,  x = 65000 mm , tune 51.50%, Event Range  35
y = 164750 mm ,  x = 64000 mm , tune 51.50%, Event Range  36
y = 164750 mm ,  x = 63000 mm , tune 51.50%, Event Range  37
y = 164750 mm ,  x = 62000 mm , tune 51.50%, Event Range  38
y = 164750 mm ,  x = 61000 mm , tune 51.50%, Event Range  39
y = 164750 mm ,  x = 60000 mm , tune 51.50%, Event Range  40
y = 164750 mm ,  x = 59000 mm , tune 51.50%, Event Range  41
y = 164750 mm ,  x = 58000 mm , tune 51.50%, Event Range  42
y = 164750 mm ,  x = 57000 mm , tune 51.50%, Event Range  43
y = 164750 mm ,  x = 56000 mm , tune 51.50%, Event Range  44
y = 164750 mm ,  x = 55000 mm , tune 51.50%, Event Range  45
y = 164750 mm ,  x = 54000 mm , tune 51.50%, Event Range  46
y = 164750 mm ,  x = 53000 mm , tune 51.50%, Event Range  47
y = 164750 mm ,  x = 52000 mm , tune 51.50%, Event Range  48
y = 164750 mm ,  x = 51000 mm , tune 51.50%, Event Range  49
y = 164750 mm ,  x = 50000 mm , tune 51.50%, Event Range  50
